year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2017,Maruti Dzire,VDI,Manual,"78,254",1st ,Diesel,MH,"13,808",Zero Down Payment,"7,06,299"
2016,Hyundai Creta,1.6 SX PLUS VTVT,Manual,"40,121",2nd ,Petrol,MH,"16,383",Zero Down Payment,"8,72,399"
2020,Renault Kwid,Neotech 1.0 EasyR,Automatic,"8,352",1st ,Petrol,MH,"10,307",Zero Down Payment,"5,27,199"
2017,Honda Amaze,1.2 SX MT I VTEC,Manual,"48,147",1st ,Petrol,MH,"9,746",Zero Down Payment,"4,98,499"
2014,Maruti Celerio,VXI,Manual,"46,138",1st ,Petrol,MH,"7,149",Zero Down Payment,"3,65,699"
2016,Hyundai Xcent,SX 1.2,Manual,"58,481",1st ,Petrol,MH,"10,266",Zero Down Payment,"5,25,099"
2017,Maruti Swift,VXI OPT,Manual,"7,310",1st ,Petrol,MH,"11,869",Zero Down Payment,"6,07,099"
2016,Maruti Celerio,ZXI AMT,Automatic,"46,100",1st ,Petrol,MH,"9,007",Zero Down Payment,"4,60,699"
2016,Maruti Celerio,VXI CNG,Manual,"75,183",1st ,Petrol + CNG,MH,"8,997",Zero Down Payment,"4,60,199"
2019,Maruti Celerio,ZXI,Manual,"49,333",1st ,Petrol + CNG,MH,"9,863",Zero Down Payment,"5,04,499"
2017,Honda Jazz,1.2 SV MT,Manual,"44,178",1st ,Petrol,MH,"10,569",Zero Down Payment,"5,40,599"
2015,Maruti Ciaz,ZXI PLUS,Manual,"89,538",1st ,Petrol,MH,"11,562",Zero Down Payment,"5,91,399"
2018,Maruti Dzire,VXI AMT,Automatic,"79,437",1st ,Petrol,MH,"11,987",Zero Down Payment,"6,13,149"
2016,Ford Ecosport,1.5 TREND TI VCT,Manual,"39,489",1st ,Petrol,MH,"11,480",Zero Down Payment,"5,87,199"
2016,Hyundai Creta,1.6 S,Manual,"13,826",1st ,Petrol,MH,"16,347",Zero Down Payment,"8,70,499"
2019,Tata Harrier,XZ 2.0L Kryotec,Manual,"50,011",1st ,Diesel,MH,"27,645",Zero Down Payment,"14,72,099"
2018,Maruti Celerio,VXI CNG OPT,Manual,"36,700",1st ,Petrol + CNG,MH,"10,567",Zero Down Payment,"5,40,499"
2014,Volkswagen Vento,HIGHLINE PETROL,Manual,"83,207",2nd ,Petrol,MH,"8,452",Zero Down Payment,"4,32,299"
2021,Mahindra XUV500,W11 AT,Automatic,"8,690",1st ,Diesel,MH,"37,502",Zero Down Payment,"19,96,999"
2017,Volkswagen Polo,GT TSI 1.2 PETROL AT,Automatic,"76,366",2nd ,Petrol,MH,"12,690",Zero Down Payment,"6,49,099"
2014,Ford Ecosport,1.5 TITANIUMTDCI OPT,Manual,"67,574",1st ,Diesel,MH,"11,425",Zero Down Payment,"5,84,399"
2020,Hyundai VENUE,1.0L Turbo GDI SX MT,Manual,"37,987",2nd ,Petrol,MH,"17,372",Zero Down Payment,"9,25,099"
2019,Maruti Baleno,ALPHA 1.2 K12,Manual,"34,171",2nd ,Petrol,MH,"11,875",Zero Down Payment,"6,07,399"
2018,Maruti IGNIS,SIGMA 1.2 K12,Manual,"41,299",1st ,Petrol,MH,"8,453",Zero Down Payment,"4,32,399"
2017,Hyundai Elite i20,ASTA 1.2,Manual,"28,473",2nd ,Petrol,MH,"12,057",Zero Down Payment,"6,16,699"
2015,Maruti S Cross,ZETA 1.3,Manual,"58,070",1st ,Diesel,MH,"13,130",Zero Down Payment,"6,71,599"
2020,Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"10,826",2nd ,Petrol,MH,"12,803",Zero Down Payment,"6,54,899"
2016,Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,"23,433",1st ,Petrol,MH,"14,004",Zero Down Payment,"7,16,299"
2014,Hyundai Xcent,S 1.2,Manual,"49,645",2nd ,Petrol,MH,"7,415",Zero Down Payment,"3,79,299"
2022,Honda City,ZX MT PETROL,Manual,"4,940",1st ,Petrol,MH,"28,638",Zero Down Payment,"15,24,999"
2021,Maruti Dzire,VXI AMT,Automatic,"2,604",1st ,Petrol,MH,"15,712",Zero Down Payment,"8,36,699"
2017,Honda Jazz,VX  1.2,Manual,"15,621",1st ,Petrol,MH,"11,321",Zero Down Payment,"5,79,099"
2021,Maruti Vitara Brezza,ZXI +,Manual,"5,004",1st ,Petrol,MH,"20,413",Zero Down Payment,"10,86,999"
2016,Hyundai Creta,1.6 SX PLUS VTVT,Manual,"52,905",1st ,Petrol,MH,"17,164",Zero Down Payment,"9,13,999"
